63942679,2501075,JP
24489185,13953792,UK
67669948,89217956,UK
59049251,3178267,UK
21863797,50535528,US
56124506,71601961,IN
41951982,44920904,JP
80943045,649875,DE
69813939,34025051,DE
21531376,76349412,UK
9274584,9671637,FR
60372603,80712827,IT
53622809,97311576,PT
7880019,29317828,CA
61851975,86170690,RO
19228859,6955514,CA
22789827,28938796,UK
85531772,86648366,PT
27797360,63568444,FR
16265409,35527070,CA
26697782,93665458,CA
7140250,63497828,IN
72912679,16340249,PT
26994782,92539117,IN
21961517,32428273,US
22904807,3210024,FR
40116478,6618860,RO
87636762,31467788,CA
49923125,88468315,CA
45885185,26488016,CN
74498898,53897728,RO
42843382,58353292,FR
21932075,99753760,IN
49351583,75578215,UK
15284131,15998200,CA
42215996,6352770,PT
59588842,46804988,JP
97107837,86077970,US
68028341,11455174,IN
75087779,76859873,FR
11155217,43476525,IT
324531,72209206,JP
97188809,76196219,IN
91262783,87051856,JP
84166934,50766288,CN
15283926,76251080,IN
95349974,92243408,US
59894458,48860570,UK
92909861,87872187,JP
23945231,24087159,RO
94694944,8565345,IT
81602325,97798449,IN
76583442,12839146,IT
94684867,16512695,IN
87243304,42313794,CN
92891349,75526519,CN
71294897,39899229,CA
64987805,43810008,IN
45148614,24790561,UK
33808556,58830871,CN
58844011,719083,CA
5887376,6740032,US
85963540,7085734,CN
27847726,48541449,IN
13231184,93551424,RO
57621164,24299724,IT
80749699,19040991,UK
65898274,35429756,PT
46702466,72907584,CA
65345548,64617975,US
40262128,33930260,UK
24865633,19020890,IT
14018229,18348803,IT
24980644,92326559,IT
80802224,85596689,UK
5058832,99928246,US
96899625,92636698,CN
16631111,48564112,CN
86465039,90244286,DE
37897311,98530884,JP
92651807,78512935,JP
42300748,95731764,IN
66187131,48667141,CN
29670782,96870936,RO
73573717,6095757,FR
5716527,58417759,IN
91938713,53112613,US
96077890,8011146,DE
6852133,6796086,CN
40377555,94159612,RO
24621534,59451915,RO
8198340,65737316,RO
52278271,93470625,CN
66972597,31418386,JP
39578584,67169022,JP
45722457,92901833,UK
931545,62115925,RO
99609644,7326072,CN
50588469,13245657,FR
88086417,87927024,FR
28498739,43818457,IN
70353992,61167776,CA
52894069,66786320,IN
29937875,66338871,DE
26446592,88971270,IN
15544790,28175627,CN
71761218,20359731,CA
85291281,50540905,JP
90533649,84610371,UK
63428444,82934808,US
354568,77111922,CA
97979795,16158197,IT
55168042,42768691,US
11187388,94505093,DE
54559028,83459501,RO
55252509,42978671,US
30825834,89898148,US
89892463,21007653,CN
66693341,35367863,IN
88413470,40637738,RO
74947761,92576382,CN
86460569,97620603,DE
88141620,2478636,FR
78238649,41171316,CA
86406402,81074931,JP
15919784,70127818,PT
87216678,85859325,CN
19957283,91845190,FR
30519086,79534549,CN
22292354,66003318,PT
32826195,86435294,JP
35114612,50940567,CA
98114968,53621573,US
11534175,97040061,DE
58058973,98355057,US
10840254,43456375,FR
43639388,98423584,UK
38519543,57658804,JP
4438653,43605751,IN
92557516,53845199,CA
19703512,43129739,CA
92077085,62315540,CA
84801527,71975426,JP
50712250,66689290,FR
40240038,29565520,DE
19184009,66492943,PT
67731794,90280554,RO
56910525,40607516,US
30387494,21018268,RO
60666157,32224922,IT
44215979,21370140,IT
79373539,95983200,DE
65885074,28378640,CA
63294085,33518825,CN
67279567,22464066,CN
14735396,4621371,IT
61127397,76848933,IT
